Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
31-10-2024,172717.48,476669.14,130197.19,130197.19,2743.24,3072.53
01-09-2022,306695.80,204295.02,157925.92,157925.92,8282.55,7930.09
02-09-2022,300290.23,181969.94,150300.13,150300.13,9080.64,8885.24
03-09-2022,210737.96,194291.68,121477.00,121477.00,7710.16,8089.11
04-09-2022,187839.57,252188.43,128206.22,128206.22,5289.28,5644.70
05-09-2022,229280.90,225259.26,132722.67,132722.67,6729.24,7116.60
06-09-2022,255823.41,198968.24,131259.49,131259.49,7730.11,7895.75
07-09-2022,289202.72,201611.88,150094.38,150094.38,8688.78,8868.38
08-09-2022,281972.82,245573.80,169917.07,169917.07,7746.30,7850.73
09-09-2022,291234.02,270544.02,192236.07,192236.07,7421.24,7703.51
10-09-2022,296229.84,275686.84,190598.96,190598.96,7502.09,7636.23
11-09-2022,232458.19,328669.80,171403.20,171403.20,5016.81,5260.79
12-09-2022,203192.20,292095.04,145155.81,145155.81,4957.91,5033.39
13-09-2022,203091.51,262621.12,134941.11,134941.11,5274.26,5390.05
14-09-2022,195726.51,311612.22,141668.66,141668.66,4548.08,4464.25
15-09-2022,173676.11,302619.34,126034.07,126034.07,3809.32,3738.61
16-09-2022,189039.18,282264.24,129148.50,129148.50,3942.84,3776.16
17-09-2022,182274.17,263598.40,119578.78,119578.78,3810.68,3811.62
18-09-2022,191255.17,298113.56,126848.75,126848.75,3591.99,3661.65
19-09-2022,202736.12,229718.22,115493.58,115493.58,4616.29,4787.82
20-09-2022,260565.26,200759.41,116357.90,116357.90,5822.19,5839.01
21-09-2022,211483.52,248431.52,123457.93,123457.93,4702.21,4688.12
22-09-2022,211366.99,250367.76,121832.97,121832.97,4603.78,4557.65
23-09-2022,193674.06,268921.57,107432.59,107432.59,4066.17,4168.52
24-09-2022,203106.53,274829.17,125287.64,125287.64,4000.99,4053.22
25-09-2022,171017.67,313950.04,114967.12,114967.12,3285.14,3411.22
26-09-2022,234813.15,246042.61,121541.30,121541.30,4856.95,5088.37
27-09-2022,281318.20,174047.96,120081.41,120081.41,6569.28,6616.62
28-09-2022,220719.52,245048.21,119931.32,119931.32,4848.64,5007.92
29-09-2022,234277.72,259866.99,126163.98,126163.98,5338.45,5476.08
30-09-2022,219938.17,246948.42,117580.73,117580.73,5095.18,5321.30
01-09-2023,562165.74,74316.73,74076.58,74076.58,10000.00,10000.00
02-09-2023,573824.76,68077.70,68077.59,68077.59,10000.00,10000.00
03-09-2023,506095.58,75449.67,75449.57,75449.57,10000.00,10000.00
